Date,Date
2015-10-07,2015-10-07
2015-10-08,2015-10-08
2015-10-09,2015-10-09
2015-10-11,2015-10-11
2015-10-12,2015-10-12
2015-11-02,2015-11-02
2015-11-03,2015-11-03
2015-11-05,2015-11-05
2015-11-06,2015-11-06
2015-11-08,2015-11-08
2015-11-09,2015-11-09
2015-11-11,2015-11-11
2015-11-12,2015-11-12
2015-12-01,2015-12-01
2015-12-02,2015-12-02
2015-12-03,2015-12-03
2015-12-05,2015-12-05
2015-12-06,2015-12-06
2015-12-08,2015-12-08
2015-12-10,2015-12-10
2015-12-11,2015-12-11
2016-01-02,2016-01-02
2016-01-03,2016-01-03
2016-01-04,2016-01-04
2016-01-06,2016-01-06
2016-01-07,2016-01-07
2016-01-08,2016-01-08
2016-01-09,2016-01-09
2016-01-11,2016-01-11
2016-01-12,2016-01-12
2016-02-02,2016-02-02
2016-02-03,2016-02-03
2016-02-06,2016-02-06
2016-02-08,2016-02-08
2016-02-11,2016-02-11
2016-02-12,2016-02-12
2016-03-02,2016-03-02
2016-03-03,2016-03-03
2016-03-06,2016-03-06
2016-03-08,2016-03-08
2016-03-10,2016-03-10
2016-03-11,2016-03-11
2016-04-01,2016-04-01
2016-04-02,2016-04-02
2016-04-03,2016-04-03
2016-04-04,2016-04-04
2016-04-05,2016-04-05
2016-04-07,2016-04-07
2016-04-08,2016-04-08
2016-04-10,2016-04-10
2016-04-11,2016-04-11
2016-05-01,2016-05-01
2016-05-02,2016-05-02
2016-05-04,2016-05-04
2016-05-05,2016-05-05
2016-05-07,2016-05-07
2016-05-08,2016-05-08
2016-05-09,2016-05-09
2016-05-10,2016-05-10
2016-05-12,2016-05-12
2016-06-01,2016-06-01
2016-06-04,2016-06-04
2016-06-05,2016-06-05
2016-06-06,2016-06-06
2016-06-07,2016-06-07
2016-06-09,2016-06-09
2016-06-10,2016-06-10
2016-06-12,2016-06-12
2016-07-01,2016-07-01
2016-07-03,2016-07-03
2016-07-04,2016-07-04
2016-07-06,2016-07-06
2016-07-07,2016-07-07
2016-07-09,2016-07-09
2016-07-10,2016-07-10
2016-07-11,2016-07-11
2016-07-12,2016-07-12
2016-08-01,2016-08-01
2016-08-03,2016-08-03
2016-08-04,2016-08-04
2016-08-06,2016-08-06
2016-08-07,2016-08-07
2016-08-08,2016-08-08
2016-08-09,2016-08-09
2016-08-11,2016-08-11
2016-08-12,2016-08-12
2016-09-03,2016-09-03
2016-09-05,2016-09-05
2016-09-06,2016-09-06
2016-09-08,2016-09-08
2016-09-09,2016-09-09
2016-09-11,2016-09-11
2016-09-12,2016-09-12
2016-10-03,2016-10-03
2016-10-05,2016-10-05
2016-10-06,2016-10-06
2016-10-08,2016-10-08
2016-10-10,2016-10-10
2016-10-11,2016-10-11
2016-11-01,2016-11-01
2016-11-03,2016-11-03
2016-11-04,2016-11-04
2016-11-05,2016-11-05
2016-11-07,2016-11-07
2016-11-08,2016-11-08
2016-11-10,2016-11-10
2016-11-11,2016-11-11
2016-12-01,2016-12-01
2016-12-04,2016-12-04
2016-12-05,2016-12-05
2016-12-07,2016-12-07
2016-12-08,2016-12-08
2016-12-09,2016-12-09
2016-12-10,2016-12-10
2016-12-12,2016-12-12
2017-01-03,2017-01-03
2017-01-06,2017-01-06
2017-01-08,2017-01-08
2017-01-09,2017-01-09
2017-01-11,2017-01-11
2017-01-12,2017-01-12
2017-02-02,2017-02-02
2017-02-03,2017-02-03
2017-02-06,2017-02-06
2017-02-08,2017-02-08
2017-02-10,2017-02-10
2017-02-11,2017-02-11
2017-03-01,2017-03-01
2017-03-02,2017-03-02
2017-03-03,2017-03-03
2017-03-04,2017-03-04
2017-03-05,2017-03-05
2017-03-07,2017-03-07
2017-03-08,2017-03-08
2017-03-10,2017-03-10
2017-03-11,2017-03-11
2017-04-01,2017-04-01
2017-04-04,2017-04-04
2017-04-05,2017-04-05
2017-04-07,2017-04-07
2017-04-08,2017-04-08
2017-04-10,2017-04-10
2017-04-12,2017-04-12
2017-05-01,2017-05-01
2017-05-04,2017-05-04
2017-05-05,2017-05-05
2017-05-06,2017-05-06
2017-05-07,2017-05-07
2017-05-09,2017-05-09
2017-05-10,2017-05-10
2017-05-12,2017-05-12
2017-06-01,2017-06-01
2017-06-02,2017-06-02
2017-06-03,2017-06-03
2017-06-06,2017-06-06
2017-06-07,2017-06-07
2017-06-09,2017-06-09
2017-06-10,2017-06-10
2017-06-11,2017-06-11
2017-06-12,2017-06-12
2017-07-02,2017-07-02
2017-07-03,2017-07-03
2017-07-04,2017-07-04
2017-07-06,2017-07-06
2017-07-07,2017-07-07
2017-07-08,2017-07-08
2017-07-09,2017-07-09
2017-07-11,2017-07-11
2017-07-12,2017-07-12
2017-08-02,2017-08-02
2017-08-03,2017-08-03
2017-08-05,2017-08-05
2017-08-06,2017-08-06
2017-08-08,2017-08-08
2017-08-09,2017-08-09
2017-08-11,2017-08-11
2017-08-12,2017-08-12
2017-09-01,2017-09-01
2017-09-02,2017-09-02
2017-09-03,2017-09-03
2017-09-05,2017-09-05
2017-09-06,2017-09-06
2017-09-08,2017-09-08
2017-09-10,2017-09-10
2017-09-11,2017-09-11
2017-10-01,2017-10-01
2017-10-02,2017-10-02
2017-10-03,2017-10-03
2017-10-04,2017-10-04
2017-10-05,2017-10-05
2017-10-07,2017-10-07
2017-10-08,2017-10-08
2017-10-10,2017-10-10
2017-10-11,2017-10-11
2017-11-01,2017-11-01
2017-11-04,2017-11-04
2017-11-05,2017-11-05
2017-11-07,2017-11-07
2017-11-08,2017-11-08
2017-11-09,2017-11-09
2017-11-10,2017-11-10
2017-11-12,2017-11-12
2017-12-01,2017-12-01
2017-12-04,2017-12-04
2017-12-05,2017-12-05
2017-12-06,2017-12-06
2017-12-07,2017-12-07
2017-12-09,2017-12-09
2017-12-10,2017-12-10
2017-12-12,2017-12-12
2018-01-02,2018-01-02
2018-01-03,2018-01-03
2018-01-06,2018-01-06
2018-01-08,2018-01-08
2018-01-10,2018-01-10
2018-01-11,2018-01-11
2018-02-01,2018-02-01
2018-02-02,2018-02-02
2018-02-03,2018-02-03
2018-02-04,2018-02-04
2018-02-05,2018-02-05
2018-02-07,2018-02-07
2018-02-08,2018-02-08
2018-02-10,2018-02-10
2018-02-11,2018-02-11
2018-03-01,2018-03-01
2018-03-04,2018-03-04
2018-03-05,2018-03-05
2018-03-07,2018-03-07
2018-03-08,2018-03-08
2018-03-10,2018-03-10
2018-03-12,2018-03-12
2018-04-01,2018-04-01
2018-04-04,2018-04-04
2018-04-05,2018-04-05
2018-04-06,2018-04-06
2018-04-07,2018-04-07
2018-04-09,2018-04-09
2018-04-10,2018-04-10
2018-04-12,2018-04-12
2018-05-01,2018-05-01
2018-05-02,2018-05-02
2018-05-03,2018-05-03
2018-05-04,2018-05-04
2018-05-06,2018-05-06
2018-05-07,2018-05-07
2018-05-09,2018-05-09
2018-05-10,2018-05-10
2018-05-11,2018-05-11
2018-05-12,2018-05-12
2018-06-02,2018-06-02
2018-06-03,2018-06-03
2018-06-04,2018-06-04
2018-06-06,2018-06-06
2018-06-07,2018-06-07
2018-06-08,2018-06-08
2018-06-09,2018-06-09
2018-06-11,2018-06-11
2018-06-12,2018-06-12
2018-07-02,2018-07-02
2018-07-03,2018-07-03
2018-07-05,2018-07-05
2018-07-06,2018-07-06
2018-07-08,2018-07-08
2018-07-09,2018-07-09
2018-07-11,2018-07-11
2018-07-12,2018-07-12
2018-08-01,2018-08-01
2018-08-02,2018-08-02
2018-08-03,2018-08-03
2018-08-05,2018-08-05
2018-08-06,2018-08-06
2018-08-08,2018-08-08
2018-08-10,2018-08-10
2018-08-11,2018-08-11
2018-09-01,2018-09-01
2018-09-02,2018-09-02
2018-09-03,2018-09-03
2018-09-04,2018-09-04
2018-09-05,2018-09-05
2018-09-07,2018-09-07
2018-09-08,2018-09-08
2018-09-10,2018-09-10
2018-09-11,2018-09-11
2018-10-01,2018-10-01
2018-10-04,2018-10-04
2018-10-05,2018-10-05
2018-10-07,2018-10-07
2018-10-08,2018-10-08
2018-10-09,2018-10-09
2018-10-10,2018-10-10
2018-10-12,2018-10-12
2018-11-01,2018-11-01
2018-11-04,2018-11-04
2018-11-05,2018-11-05
2018-11-06,2018-11-06
2018-11-07,2018-11-07
2018-11-09,2018-11-09
2018-11-10,2018-11-10
2018-11-12,2018-11-12
2018-12-01,2018-12-01
2018-12-02,2018-12-02
2018-12-03,2018-12-03
2018-12-04,2018-12-04
2018-12-06,2018-12-06
2018-12-07,2018-12-07
2018-12-09,2018-12-09
2018-12-10,2018-12-10
2018-12-11,2018-12-11
2018-12-12,2018-12-12
2019-01-02,2019-01-02
2019-01-03,2019-01-03
2019-01-04,2019-01-04
2019-01-07,2019-01-07
2019-01-08,2019-01-08
2019-01-10,2019-01-10
2019-01-11,2019-01-11
2019-02-01,2019-02-01
2019-02-04,2019-02-04
2019-02-05,2019-02-05
2019-02-07,2019-02-07
2019-02-08,2019-02-08
2019-02-10,2019-02-10
2019-02-12,2019-02-12
2019-03-01,2019-03-01
2019-03-04,2019-03-04
2019-03-05,2019-03-05
2019-03-06,2019-03-06
2019-03-07,2019-03-07
2019-03-09,2019-03-09
2019-03-10,2019-03-10
2019-03-12,2019-03-12
2019-04-01,2019-04-01
2019-04-03,2019-04-03
2019-04-04,2019-04-04
2019-04-06,2019-04-06
2019-04-07,2019-04-07
2019-04-09,2019-04-09
2019-04-10,2019-04-10
2019-04-11,2019-04-11
2019-04-12,2019-04-12
2019-05-03,2019-05-03
2019-05-04,2019-05-04
2019-05-06,2019-05-06
2019-05-07,2019-05-07
2019-05-08,2019-05-08
2019-05-09,2019-05-09
2019-05-11,2019-05-11
2019-05-12,2019-05-12
2019-06-03,2019-06-03
2019-06-05,2019-06-05
2019-06-06,2019-06-06
2019-06-08,2019-06-08
2019-06-09,2019-06-09
2019-06-11,2019-06-11
2019-06-12,2019-06-12
2019-07-01,2019-07-01
2019-07-03,2019-07-03
2019-07-05,2019-07-05
2019-07-06,2019-07-06
2019-07-08,2019-07-08
2019-07-10,2019-07-10
2019-07-11,2019-07-11
2019-08-01,2019-08-01
2019-08-03,2019-08-03
2019-08-04,2019-08-04
2019-08-05,2019-08-05
2019-08-07,2019-08-07
2019-08-08,2019-08-08
2019-08-10,2019-08-10
2019-08-11,2019-08-11
2019-09-01,2019-09-01
2019-09-04,2019-09-04
2019-09-05,2019-09-05
2019-09-07,2019-09-07
2019-09-08,2019-09-08
2019-09-09,2019-09-09
2019-09-10,2019-09-10
2019-09-12,2019-09-12
2019-10-01,2019-10-01
2019-10-04,2019-10-04
2019-10-05,2019-10-05
2019-10-06,2019-10-06
2019-10-07,2019-10-07
2019-10-09,2019-10-09
2019-10-10,2019-10-10
2019-10-12,2019-10-12
2019-11-01,2019-11-01
2019-11-02,2019-11-02
2019-11-03,2019-11-03
2019-11-04,2019-11-04
2019-11-06,2019-11-06
2019-11-07,2019-11-07
2019-11-09,2019-11-09
2019-11-10,2019-11-10
2019-11-11,2019-11-11
2019-11-12,2019-11-12
2019-12-02,2019-12-02
2019-12-03,2019-12-03
2019-12-04,2019-12-04
2019-12-06,2019-12-06
2019-12-07,2019-12-07
2019-12-08,2019-12-08
2019-12-09,2019-12-09
2019-12-11,2019-12-11
2019-12-12,2019-12-12
2020-01-04,2020-01-04
2020-01-06,2020-01-06
2020-01-07,2020-01-07
2020-01-09,2020-01-09
2020-01-10,2020-01-10
2020-01-12,2020-01-12
2020-02-01,2020-02-01
2020-02-03,2020-02-03
2020-02-06,2020-02-06
2020-02-07,2020-02-07
2020-02-10,2020-02-10
2020-02-11,2020-02-11
2020-02-12,2020-02-12
2020-03-01,2020-03-01
2020-03-02,2020-03-02
2020-03-03,2020-03-03
2020-03-04,2020-03-04
2020-03-06,2020-03-06
2020-03-07,2020-03-07
2020-03-08,2020-03-08
2020-03-09,2020-03-09
2020-03-11,2020-03-11
2020-03-12,2020-03-12
2020-04-02,2020-04-02
2020-04-03,2020-04-03
2020-04-05,2020-04-05
2020-04-06,2020-04-06
2020-04-08,2020-04-08
2020-04-09,2020-04-09
2020-04-11,2020-04-11
2020-04-12,2020-04-12
2020-05-02,2020-05-02
2020-05-03,2020-05-03
2020-05-05,2020-05-05
2020-05-06,2020-05-06
2020-05-08,2020-05-08
2020-05-10,2020-05-10
2020-05-11,2020-05-11
2020-06-01,2020-06-01
2020-06-02,2020-06-02
2020-06-03,2020-06-03
2020-06-04,2020-06-04
2020-06-05,2020-06-05
2020-06-07,2020-06-07
2020-06-08,2020-06-08
2020-06-10,2020-06-10
2020-06-11,2020-06-11
2020-07-01,2020-07-01
2020-07-02,2020-07-02
2020-07-04,2020-07-04
2020-07-05,2020-07-05
2020-07-07,2020-07-07
2020-07-08,2020-07-08
2020-07-09,2020-07-09
2020-07-10,2020-07-10
2020-07-12,2020-07-12
2020-08-01,2020-08-01
2020-08-04,2020-08-04
2020-08-05,2020-08-05
2020-08-06,2020-08-06
2020-08-07,2020-08-07
2020-08-09,2020-08-09
2020-08-10,2020-08-10
2020-08-12,2020-08-12
2020-09-01,2020-09-01
2020-09-03,2020-09-03
2020-09-04,2020-09-04
2020-09-06,2020-09-06
2020-09-07,2020-09-07
2020-09-09,2020-09-09
2020-09-10,2020-09-10
2020-09-11,2020-09-11
2020-09-12,2020-09-12
2020-10-01,2020-10-01
2020-10-02,2020-10-02
2020-10-03,2020-10-03
2020-10-04,2020-10-04
2020-10-06,2020-10-06
2020-10-07,2020-10-07
2020-10-08,2020-10-08
2020-10-09,2020-10-09
2020-10-11,2020-10-11
2020-10-12,2020-10-12
2020-11-02,2020-11-02
2020-11-03,2020-11-03
2020-11-05,2020-11-05
2020-11-06,2020-11-06
2020-11-08,2020-11-08
2020-11-09,2020-11-09
2020-11-11,2020-11-11
2020-11-12,2020-11-12
2020-12-02,2020-12-02
2020-12-03,2020-12-03
2020-12-05,2020-12-05
2020-12-06,2020-12-06
2020-12-08,2020-12-08
2020-12-10,2020-12-10
2020-12-11,2020-12-11
2021-01-02,2021-01-02
2021-01-03,2021-01-03
2021-01-04,2021-01-04
2021-01-06,2021-01-06
2021-01-07,2021-01-07
2021-01-09,2021-01-09
2021-01-10,2021-01-10
2021-01-11,2021-01-11
2021-01-12,2021-01-12
2021-02-02,2021-02-02
2021-02-03,2021-02-03
2021-02-04,2021-02-04
2021-02-06,2021-02-06
2021-02-07,2021-02-07
2021-02-08,2021-02-08
2021-02-11,2021-02-11
2021-02-12,2021-02-12
2021-03-02,2021-03-02
2021-03-03,2021-03-03
2021-03-06,2021-03-06
2021-03-08,2021-03-08
2021-03-11,2021-03-11
2021-03-12,2021-03-12
2021-04-01,2021-04-01
2021-04-02,2021-04-02
2021-04-03,2021-04-03
2021-04-05,2021-04-05
2021-04-06,2021-04-06
2021-04-08,2021-04-08
2021-04-10,2021-04-10
2021-04-11,2021-04-11
2021-05-01,2021-05-01
2021-05-02,2021-05-02
2021-05-03,2021-05-03
2021-05-04,2021-05-04
2021-05-05,2021-05-05
2021-05-07,2021-05-07
2021-05-08,2021-05-08
2021-05-10,2021-05-10
2021-05-11,2021-05-11
2021-06-01,2021-06-01
2021-06-04,2021-06-04
2021-06-05,2021-06-05
2021-06-07,2021-06-07
2021-06-08,2021-06-08
2021-06-09,2021-06-09
2021-06-10,2021-06-10
2021-06-12,2021-06-12
2021-07-01,2021-07-01
2021-07-04,2021-07-04
2021-07-05,2021-07-05
2021-07-06,2021-07-06
2021-07-07,2021-07-07
2021-07-09,2021-07-09
2021-07-10,2021-07-10
2021-07-12,2021-07-12
2021-08-01,2021-08-01
2021-08-02,2021-08-02
2021-08-03,2021-08-03
2021-08-04,2021-08-04
2021-08-06,2021-08-06
2021-08-07,2021-08-07
2021-08-09,2021-08-09
2021-08-10,2021-08-10
2021-08-11,2021-08-11
2021-08-12,2021-08-12
2021-09-02,2021-09-02
2021-09-03,2021-09-03
2021-09-04,2021-09-04
2021-09-06,2021-09-06
2021-09-07,2021-09-07
2021-09-08,2021-09-08
2021-09-09,2021-09-09
2021-09-11,2021-09-11
2021-09-12,2021-09-12
2021-10-03,2021-10-03
2021-10-05,2021-10-05
2021-10-06,2021-10-06
2021-10-08,2021-10-08
2021-10-09,2021-10-09
2021-10-11,2021-10-11
2021-10-12,2021-10-12
2021-11-01,2021-11-01
2021-11-03,2021-11-03
2021-11-05,2021-11-05
2021-11-06,2021-11-06
2021-11-08,2021-11-08
2021-11-10,2021-11-10
2021-11-11,2021-11-11
2021-12-01,2021-12-01
2021-12-03,2021-12-03
2021-12-04,2021-12-04
2021-12-05,2021-12-05
2021-12-07,2021-12-07
2021-12-08,2021-12-08
2021-12-10,2021-12-10
2021-12-11,2021-12-11
2022-01-03,2022-01-03
2022-01-04,2022-01-04
2022-01-06,2022-01-06
2022-01-07,2022-01-07
2022-01-08,2022-01-08
2022-01-11,2022-01-11
2022-01-12,2022-01-12
2022-02-03,2022-02-03
2022-02-06,2022-02-06
2022-02-08,2022-02-08
2022-02-11,2022-02-11
2022-02-12,2022-02-12
2022-03-03,2022-03-03
2022-03-06,2022-03-06
2022-03-08,2022-03-08
2022-03-10,2022-03-10
2022-03-11,2022-03-11
2022-04-01,2022-04-01
2022-04-03,2022-04-03
2022-04-04,2022-04-04
2022-04-05,2022-04-05
2022-04-07,2022-04-07
2022-04-08,2022-04-08
2022-04-10,2022-04-10
2022-04-11,2022-04-11
2022-05-01,2022-05-01
2022-05-04,2022-05-04
2022-05-05,2022-05-05
2022-05-07,2022-05-07
2022-05-08,2022-05-08
2022-05-09,2022-05-09
2022-05-10,2022-05-10
2022-05-12,2022-05-12
2022-06-01,2022-06-01
2022-06-04,2022-06-04
2022-06-05,2022-06-05
2022-06-06,2022-06-06
2022-06-07,2022-06-07
2022-06-09,2022-06-09
2022-06-10,2022-06-10
2022-06-12,2022-06-12
2022-07-01,2022-07-01
2022-07-02,2022-07-02
2022-07-03,2022-07-03
2022-07-04,2022-07-04
2022-07-06,2022-07-06
2022-07-07,2022-07-07
2022-07-09,2022-07-09
2022-07-10,2022-07-10
2022-07-11,2022-07-11
2022-07-12,2022-07-12
2022-08-02,2022-08-02
2022-08-03,2022-08-03
2022-08-04,2022-08-04
2022-08-06,2022-08-06
2022-08-07,2022-08-07
2022-08-08,2022-08-08
2022-08-09,2022-08-09
2022-08-11,2022-08-11
2022-08-12,2022-08-12
2022-09-02,2022-09-02
2022-09-03,2022-09-03
2022-09-05,2022-09-05
2022-09-06,2022-09-06
2022-09-08,2022-09-08
2022-09-09,2022-09-09
2022-09-11,2022-09-11
2022-09-12,2022-09-12
2022-10-01,2022-10-01
2022-10-02,2022-10-02
2022-10-03,2022-10-03
2022-10-05,2022-10-05
2022-10-06,2022-10-06
2022-10-08,2022-10-08
2022-10-10,2022-10-10
2022-10-11,2022-10-11
2022-11-01,2022-11-01
2022-11-02,2022-11-02
2022-11-03,2022-11-03
2022-11-05,2022-11-05
2022-11-07,2022-11-07
2022-11-08,2022-11-08
2022-11-10,2022-11-10
2022-11-11,2022-11-11
2022-12-01,2022-12-01
2022-12-04,2022-12-04
2022-12-05,2022-12-05
2022-12-07,2022-12-07
2022-12-08,2022-12-08
2022-12-09,2022-12-09
2022-12-10,2022-12-10
2022-12-12,2022-12-12
2023-01-02,2023-01-02
2023-01-03,2023-01-03
2023-01-06,2023-01-06
2023-01-08,2023-01-08
2023-01-11,2023-01-11
2023-01-12,2023-01-12
2023-02-02,2023-02-02
2023-02-03,2023-02-03
2023-02-06,2023-02-06
2023-02-08,2023-02-08
2023-02-10,2023-02-10
2023-02-11,2023-02-11
2023-03-01,2023-03-01
2023-03-02,2023-03-02
2023-03-03,2023-03-03
2023-03-04,2023-03-04
2023-03-07,2023-03-07
2023-03-08,2023-03-08
2023-03-10,2023-03-10
2023-03-11,2023-03-11
2023-04-01,2023-04-01
2023-04-04,2023-04-04
2023-04-05,2023-04-05
2023-04-07,2023-04-07
2023-04-08,2023-04-08
2023-04-10,2023-04-10
2023-04-12,2023-04-12
2023-05-01,2023-05-01
2023-05-04,2023-05-04
2023-05-05,2023-05-05
2023-05-06,2023-05-06
2023-05-07,2023-05-07
2023-05-09,2023-05-09
2023-05-10,2023-05-10
2023-05-12,2023-05-12
2023-06-01,2023-06-01
2023-06-02,2023-06-02
2023-06-03,2023-06-03
2023-06-04,2023-06-04
2023-06-06,2023-06-06
2023-06-07,2023-06-07
2023-06-09,2023-06-09
2023-06-10,2023-06-10
2023-06-11,2023-06-11
2023-06-12,2023-06-12
2023-07-02,2023-07-02
2023-07-03,2023-07-03
2023-07-04,2023-07-04
2023-07-06,2023-07-06
2023-07-07,2023-07-07
2023-07-08,2023-07-08
2023-07-09,2023-07-09
2023-07-11,2023-07-11
2023-07-12,2023-07-12
2023-08-02,2023-08-02
2023-08-03,2023-08-03
2023-08-05,2023-08-05
2023-08-06,2023-08-06
2023-08-08,2023-08-08
2023-08-09,2023-08-09
2023-08-11,2023-08-11
2023-08-12,2023-08-12
2023-09-01,2023-09-01
2023-09-02,2023-09-02
2023-09-03,2023-09-03
2023-09-05,2023-09-05
2023-09-06,2023-09-06
2023-09-08,2023-09-08
2023-09-10,2023-09-10
2023-09-11,2023-09-11
2023-10-01,2023-10-01
2023-10-02,2023-10-02
2023-10-03,2023-10-03
2023-10-04,2023-10-04
2023-10-05,2023-10-05
2023-10-07,2023-10-07
2023-10-08,2023-10-08
2023-10-10,2023-10-10
2023-10-11,2023-10-11
2023-11-01,2023-11-01
2023-11-04,2023-11-04
2023-11-05,2023-11-05
2023-11-07,2023-11-07
2023-11-08,2023-11-08
2023-11-09,2023-11-09
2023-11-10,2023-11-10
2023-11-12,2023-11-12
2023-12-01,2023-12-01
2023-12-04,2023-12-04
2023-12-05,2023-12-05
2023-12-06,2023-12-06
2023-12-07,2023-12-07
2023-12-09,2023-12-09
2023-12-10,2023-12-10
2023-12-12,2023-12-12
2024-01-02,2024-01-02
2024-01-03,2024-01-03
2024-01-04,2024-01-04
2024-01-07,2024-01-07
2024-01-08,2024-01-08
2024-01-10,2024-01-10
2024-01-11,2024-01-11
2024-02-01,2024-02-01
2024-02-02,2024-02-02
2024-02-04,2024-02-04
2024-02-05,2024-02-05
2024-02-07,2024-02-07
2024-02-08,2024-02-08
2024-02-10,2024-02-10
2024-02-12,2024-02-12
2024-03-01,2024-03-01
2024-03-04,2024-03-04
2024-03-05,2024-03-05
2024-03-06,2024-03-06
2024-03-07,2024-03-07
2024-03-10,2024-03-10
2024-03-12,2024-03-12
2024-04-01,2024-04-01
2024-04-03,2024-04-03
2024-04-04,2024-04-04
2024-04-06,2024-04-06
2024-04-07,2024-04-07
2024-04-09,2024-04-09
2024-04-10,2024-04-10
2024-04-11,2024-04-11
2024-04-12,2024-04-12
2024-05-01,2024-05-01
2024-05-02,2024-05-02
2024-05-03,2024-05-03
2024-05-04,2024-05-04
2024-05-06,2024-05-06
2024-05-07,2024-05-07
2024-05-08,2024-05-08
2024-05-09,2024-05-09
2024-05-11,2024-05-11
2024-05-12,2024-05-12
2024-06-02,2024-06-02
2024-06-03,2024-06-03
2024-06-05,2024-06-05
2024-06-06,2024-06-06
2024-06-08,2024-06-08
2024-06-09,2024-06-09
2024-06-11,2024-06-11
2024-06-12,2024-06-12
2024-07-02,2024-07-02
2024-07-03,2024-07-03
2024-07-05,2024-07-05
2024-07-06,2024-07-06
2024-07-08,2024-07-08
2024-07-10,2024-07-10
2024-07-11,2024-07-11
2024-08-01,2024-08-01
2024-08-03,2024-08-03
2024-08-04,2024-08-04
2024-08-05,2024-08-05
2024-08-07,2024-08-07
2024-08-08,2024-08-08
2024-08-10,2024-08-10
2024-08-11,2024-08-11
2024-09-01,2024-09-01
2024-09-04,2024-09-04
2024-09-05,2024-09-05
2024-09-07,2024-09-07
2024-09-08,2024-09-08
2024-09-09,2024-09-09
2024-09-10,2024-09-10
2024-09-12,2024-09-12
2024-10-01,2024-10-01
2024-10-04,2024-10-04
2024-10-05,2024-10-05
2024-10-06,2024-10-06
2024-10-07,2024-10-07
2024-10-09,2024-10-09
2024-10-10,2024-10-10
2024-10-12,2024-10-12
2024-11-01,2024-11-01
2024-11-03,2024-11-03
2024-11-04,2024-11-04
2024-11-06,2024-11-06
2024-11-07,2024-11-07
2024-11-09,2024-11-09
2024-11-10,2024-11-10
2024-11-11,2024-11-11
2024-11-12,2024-11-12
2024-12-01,2024-12-01
2024-12-03,2024-12-03
2024-12-04,2024-12-04
2024-12-06,2024-12-06
2024-12-07,2024-12-07
2024-12-08,2024-12-08
2024-12-09,2024-12-09
2024-12-11,2024-12-11
2024-12-12,2024-12-12
2025-01-04,2025-01-04
2025-01-07,2025-01-07
2025-02-01,2025-02-01
2025-02-04,2025-02-04
2025-02-06,2025-02-06
2025-03-01,2025-03-01
2025-03-02,2025-03-02
2025-03-03,2025-03-03
2025-03-04,2025-03-04
2025-03-06,2025-03-06
2025-04-02,2025-04-02
2025-04-03,2025-04-03
2025-04-04,2025-04-04
2025-04-06,2025-04-06
2025-05-02,2025-05-02
2025-05-03,2025-05-03
2025-05-05,2025-05-05
2025-05-06,2025-05-06
2025-06-01,2025-06-01
2025-06-02,2025-06-02
2025-06-03,2025-06-03
2025-06-05,2025-06-05
2025-06-06,2025-06-06
2025-07-01,2025-07-01
2025-07-02,2025-07-02
2025-07-03,2025-07-03
2025-07-05,2025-07-05
2025-08-01,2025-08-01
2025-08-04,2025-08-04
2025-08-05,2025-08-05
2025-09-01,2025-09-01
2025-09-04,2025-09-04
2025-09-05,2025-09-05
2025-09-06,2025-09-06
2025-10-01,2025-10-01
2025-10-02,2025-10-02
